,word,prononunce,Type,Meaning,Example,Example2,others
0,im·pera·tive,[ɪmˈpɛrətɪv],ADJECTIVE,of vital importance; crucial:,"""immediate action was imperative""","""he ascribed Jane's short temper to her upset stomach""","""the move would have grave repercussions for the entire region"""
1,info·graph·ic,[ˌɪnfə(ʊ)ˈɡrafɪk],NOUN,infographics (plural noun),"a visual representation of information or data, e.g. as a chart or diagram","""paintings depicting Old Testament scenes"" · ""these equations may be depicted on a graph""","""executive power is vested in the President"""
2,Gamut- Color reproduction,eg.Visuals coined infographic run the gamut from fluffy to informative.,NOUN,the feeling that someone or something is unworthy of one's consideration or respect:,"""her upper lip curled in disdain"" · ""an aristocratic disdain for manual labour""","""his mouth fell open as he perceived the truth"" · ""he was quick to perceive that there was little future in such arguments""","""the uptake of glucose into the muscles"""
3,dis·dain,[dɪsˈdeɪn],VERB,ascribing (present participle),regard something as being due to (a cause):,"""grey clouds obscure the sun""",Nan
4,ascribe,[əˈskrʌɪb],VERB,depicted (past tense) · depicted (past participle),"represent by a drawing, painting, or other art form:","""that was the one thing that peeved him""",Nan
5,de·pict,[dɪˈpɪkt],ADJECTIVE,comprehensive or all-embracing:,"""a single overarching principle""","""with his scientific curiosity piqued, he was looking forward to being able to analyse his find""",Nan
6,over·arch·ing,[ˌəʊvərˈɑːtʃɪŋ],VERB,"convert (a text written in code, or a coded signal) into normal language:","""authorized government agencies can decipher encrypted telecommunications""","an unintended consequence of an event or action, especially an unwelcome one:",Nan
7,de·cipher,[dɪˈsʌɪfə],ADJECTIVE,"coming before something in order, position, or time:","""the preceding pages"" · ""a growth in sales above those of the preceding year""","confer or bestow (power, authority, property, etc.) on someone:",Nan
8,preceding,[prɪˈsiːdɪŋ],VERB,perceived (past tense) · perceived (past participle),become aware or conscious of (something); come to realize or understand:,"""an animal's eye can be easily dissected""",Nan
9,per·ceive,[pəˈsiːv],ADJECTIVE,characterized by or causing cohesion:,"""each parish was formerly a cohesive unit"" · ""family life can be a cohesive force in society""","""parlaying a small bankroll into big winnings""",Nan
10,co·he·sive,[kəʊˈhiːsɪv],VERB,admit or agree that something is true after first denying or resisting it:,"""I had to concede that I'd overreacted"" · ""‘All right then,’ she conceded""","""we indulged in a cream tea""",Nan
11,con·cede,[kənˈsiːd],ADJECTIVE,comprehensive or all-embracing:,"""a single overarching principle""","""weeks of violence culminated in the brutal murder of a magistrate""",Nan
12,over·arch·ing,[ˌəʊvərˈɑːtʃɪŋ],VERB,obscured (past tense) · obscured (past participle),keep from being seen; conceal:,"""he found his mother dozing by the fire""",Nan
13,ob·scure,[əbˈskjʊə],[dɪˈlɪb(ə)rət],done consciously and intentionally:,"""a deliberate attempt to provoke conflict""","""a table set into a recess""",Nan
14,de·lib·er·ate,ADJECTIVE,NOUN,"a continuous deep, resonant sound:","""the rumbling of wheels in the distance""","""the notes are excerpted from his forthcoming biography""",Nan
15,rum·bling,[ˈrʌmblɪŋ],VERB,peeves (third person present),annoy or irritate:,not violent or strong : moderate,Nan
16,peeve,[piːv],ADJECTIVE,irrelevant or unrelated to the subject being dealt with:,"""one is obliged to wade through many pages of extraneous material""","""he is endeavouring to help the Third World""",Nan
17,ex·tra·ne·ous,"[ɪkˈstreɪnɪəs, ɛkˈstreɪnɪəs]",VERB,make it difficult for (someone) to do something or for (something) to happen:,"""language barriers hindered communication between scientists""","""there is growing pressure to halt the bloodshed"" · ""she halted in mid sentence""",Nan
18,hin·der,[ˈhɪndə],VERB,piqued (past tense) · piqued (past participle),arouse (interest or curiosity):,the taking in or absorption of a substance by a living organism or bodily organ:,Nan
19,pique,[piːk],ADJECTIVE,capable of working successfully; feasible:,"""the proposed investment was economically viable""",Nan,Nan
20,vi·able,[ˈvʌɪəb(ə)l],ADJECTIVE,"(of a habit, belief, or attitude) firmly fixed or established; difficult to change:","""his deeply ingrained Catholic convictions""",Nan,Nan
21,in·grained,[ɪnˈɡreɪnd],ADJECTIVE,"(of an argument, theory, or policy) logical and consistent:","""they failed to develop a coherent economic strategy""",Nan,Nan
22,co·her·ent,[kə(ʊ)ˈhɪər(ə)nt],NOUN,the state of being unaware or unconscious of what is happening around one:,"""they drank themselves into oblivion""",Nan,Nan
23,ob·liv·ion,[əˈblɪvɪən],ADVERB,"in a way that relates to space and the position, area, and size of things within it:","""the species composition varies spatially across the reserve"" · ""spatially separated ecosystems""",Nan,Nan
24,spa·tial·ly,[ˈspeɪʃ(ə)li],NOUN,repercussions (plural noun),(REPERCUSSIONS),Nan,Nan
25,re·per·cus·sion,[riːpəˈkʌʃ(ə)n],ADVERB,in a restricted or infrequent manner; in small quantities:,"""the sharply flavoured leaves should be used sparingly""",Nan,Nan
26,spar·ing·ly,[ˈspɛːrɪŋli],ADVERB,in a restricted or infrequent manner; in small quantities:,"""the sharply flavoured leaves should be used sparingly""",Nan,Nan
27,spar·ing·ly,[ˈspɛːrɪŋli],NOUN,an idea or feeling which a word invokes for a person in addition to its literal or primary meaning:,"""the word ‘discipline’ has unhappy connotations of punishment and repression"" · ""the work functions both by analogy and by connotation""",Nan,Nan
28,Fatigue - tiredness or exhaustion,[kɒnəˈteɪʃ(ə)n],ADJECTIVE,"wilfully causing pain or suffering to others, or feeling no concern about it:","""people who are cruel to animals"" · ""a cruel remark""",Nan,Nan
29,con·no·ta·tion,[ˈkruː(ə)l],VERB,"encourage the development of (something, especially something desirable):","""the teacher's task is to foster learning""",Nan,Nan
30,cruel,[ˈfɒstə],ADJECTIVE,attractive or interesting,The idea of not having to get up early every morning is rather appealing (to me).,Nan,Nan
31,fos·ter,uk/əˈpiː.lɪŋ/ us/əˈpiː.lɪŋ/,ADJECTIVE,important; famous:,"""she was a prominent member of the city council""",Nan,Nan
32,appealing,[ˈprɒmɪnənt],NOUN,"a situation in which a difficult choice has to be made between two or more alternatives, especially ones that are equally undesirable:","""he wants to make money, but he also disapproves of it: Den's dilemma in a nutshell""",Nan,Nan
33,prom·in·ent,"[dɪˈlɛmə, dʌɪˈlɛmə]",NOUN,the refusal to accept or comply with something:,"""they displayed a narrow-minded resistance to change""",Nan,Nan
34,di·lemma,[rɪˈzɪst(ə)ns],VERB,vested (past tense) · vested (past participle),(BE VESTED IN),Nan,Nan
35,re·sist·ance,[vɛst],ADJECTIVE,satisfying or appealing:,"""the pleasing austerity of the surroundings""",Nan,Nan
36,vest,[ˈpliːzɪŋ],VERB,dissecting (present participle),methodically cut up (a body or plant) in order to study its internal parts:,Nan,Nan
37,pleas·ing,"[dʌɪˈsɛkt, dɪˈsɛkt]",ADJECTIVE,"existing in something as a permanent, essential, or characteristic attribute:","""any form of mountaineering has its inherent dangers""",Nan,Nan
38,dis·sect,"[ɪnˈhɪər(ə)nt, ɪnˈhɛr(ə)nt]",[dɪˈlɪb(ə)rət],done consciously and intentionally:,"""a deliberate attempt to provoke conflict""",Nan,Nan
39,in·her·ent,ADJECTIVE,ADJECTIVE,having or showing a keen interest in or enthusiasm for something:,"""an avid reader of science fiction""",Nan,Nan
40,de·lib·er·ate,[ˈavɪd],VERB,(PARLAY SOMETHING INTO),turn an initial stake or winnings from a previous bet into (a greater amount) by gambling:,Nan,Nan
41,avid,[ˈpɑːleɪ],ADJECTIVE,"fashionable, high-class",haute interior decorators,Nan,Nan
42,par·lay,ˈōt,VERB,(INDULGE IN),allow oneself to enjoy the pleasure of:,Nan,Nan
43,haute,[ɪnˈdʌldʒ],ADJECTIVE,away from the usual or expected course; amiss:,"""I got the impression that something was awry"" · ""many youthful romances go awry""",Nan,Nan
44,in·dulge,[əˈrʌɪ],VERB,culminating (present participle),reach a climax or point of highest development:,Nan,Nan
45,awry,[ˈkʌlmɪneɪt],VERB,dozing (present participle),sleep lightly:,Nan,Nan
46,cul·min·ate,[dəʊz],NOUN,a conception of or belief about something:,"""children have different notions about the roles of their parents"" · ""I had no notion of what her words meant""",Nan,Nan
47,doze,[ˈnəʊʃ(ə)n],VERB,induce (someone) to do something through reasoning or argument:,"""it wasn't easy, but I persuaded him to do the right thing""",Nan,Nan
48,no·tion,[pəˈsweɪd],NOUN,recesses (plural noun),a small space created by building part of a wall further back from the rest:,Nan,Nan
49,per·suade,"[rɪˈsɛs, ˈriːsɛs]",VERB,excerpted (past tense) · excerpted (past participle),take (a short extract) from a text:,Nan,Nan
50,re·cess,[excerpt],VERB,make (information) known:,"""the teachers imparted a great deal of knowledge to their pupils""",Nan,Nan
51,ex·cerpt,[ɪmˈpɑːt],ADJECTIVE,"evoking interest, attention, or admiration in a powerfully irresistible way:","""his eyes were strangely compelling"" · ""a compelling film""",Nan,Nan
52,im·part,[kəmˈpɛlɪŋ],NOUN,the quality of being trusted and believed in:,"""the very public loss of credibility led to the demise of the magazine""",Nan,Nan
53,com·pel·ling,[krɛdɪˈbɪlɪti],NOUN,a pack of cards:,"""Craig reached into his pocket and caressed his lucky deck of cards""",Nan,Nan
54,cred·ibil·ity,[dɛk],ADVERB,in a way that follows the order in which events or records occurred:,"""the essays are arranged chronologically"" · ""the narrative moves chronologically""",Nan,Nan
55,deck,[krɒnəˈlɒdʒɪk(ə)li],NOUN,agreement or compatibility between opinions or actions:,"""consonance between conservation measures and existing agricultural practice"" · ""a constitution in consonance with the people's customs""",Nan,Nan
56,chrono·logic·al·ly,[ˈkɒns(ə)nəns],ADVERB,to a great extent; extremely:,"""the show was immensely popular with children""",Nan,Nan
57,con·son·ance,[ɪˈmɛnsli],VERB,grasp mentally; understand:,"""he couldn't comprehend her reasons for marrying Lovat"" · ""I simply couldn't comprehend what had happened""",Nan,Nan
58,im·mense·ly,[kɒmprɪˈhɛnd],ADJECTIVE,comprehensive or all-embracing:,"""a single overarching principle""",Nan,Nan
59,com·pre·hend,[ˌəʊvərˈɑːtʃɪŋ],ADJECTIVE,last but one in a series of things; second last:,"""the penultimate chapter of the book""",Nan,Nan
60,over·arch·ing,[pɪˈnʌltɪmət],NOUN,"pasta made in solid strings, between macaroni and vermicelli in thickness.","an Italian dish consisting largely of spaghetti, typically with a sauce.",Nan,Nan
61,pen·ul·ti·mate,[spəˈɡɛti],VERB,"give new and improved form, structure, or appearance to:","""an attempt to revamp the museum's image""",Nan,Nan
62,spa·ghetti,[riːˈvamp],ADJECTIVE,enduring injury with patience and without resentment : mild,deficient in spirit and courage : submissive,Nan,Nan
63,re·vamp,ˈmēk,VERB,endeavor (verb),try hard to do or achieve something:,Nan,Nan
64,meek,"[ɪnˈdɛvə, ɛnˈdɛvə]",ADJECTIVE,"forbidden, especially by an authority:","""bank fishing is verboten on Strathbeg"" · ""the list of verboten films""",Nan,Nan
65,en·deav·our,"[vəːˈbəʊt(ə)n, German fɛɐˈboːtn]",NOUN,a confusing and difficult problem or question:,"""one of the most difficult conundrums for the experts""",Nan,Nan
66,ver·bo·ten,[kəˈnʌndrəm],ADVERB,after a particular thing has happened; afterwards:,"""the officer decided to stop and subsequently made an arrest"" · ""the work was accepted for inclusion in the Paris Salon of 1880 and was subsequently sold to an important collector""",Nan,Nan
67,con·un·drum,[ˈsʌbsɪkwəntli],NOUN,the path followed by a projectile flying or an object moving under the action of given forces:,"""the missile's trajectory was preset"" · ""the rapid upward trajectory of Rich's career""",Nan,Nan
68,sub·se·quent·ly,"[trəˈdʒɛkt(ə)ri, ˈtradʒɪkt(ə)ri]",VERB,halted (past tense) · halted (past participle),bring or come to an abrupt stop:,Nan,Nan
69,tra·jec·tory,[hɔːlt],NOUN,the action of taking up or making use of something that is available:,"""the uptake of free school meals""",Nan,Nan
70,halt,[ˈʌpteɪk],VERB [ T ],to do or be better than,His time for the 100 metres surpassed the previous world record by one hundredth of a second.,Nan,Nan
71,up·take,uk/səˈpɑːs/ us/sɚˈpæs/,ADJECTIVE,The salient facts about something or qualities of something are the most important things about them,She began to summarize the salient features/points of the proposal.,Nan,Nan
72,surpass,uk/ˈseɪ.li.ənt/ us/ˈseɪ.li.ənt/,ADJECTIVE,of vital importance; crucial:,"""immediate action was imperative"" · ""it is imperative that standards are maintained""",Nan,Nan
73,salient,[ɪmˈpɛrətɪv],Nan,Nan,Nan,Nan,Nan
74,im·pera·tive,Nan,Nan,Nan,Nan,Nan,Nan
